TIMESTAMP,FREQ_MHZ,SIGNAL_POWER_W,NOISE_FLOOR_W,SNR_DB,STATUS
2026-01-04T01:31:41.180513,150.00,2.956164e-15,2.956164e-15,0.000,NOISE
2026-01-04T01:31:41.230897,150.20,7.920623e-15,7.920623e-15,0.000,NOISE
2026-01-04T01:31:41.281171,150.41,5.560078e-15,5.560078e-15,0.000,NOISE
2026-01-04T01:31:41.331486,150.61,2.538594e-15,2.538594e-15,0.000,NOISE
2026-01-04T01:31:41.381765,150.82,6.941956e-15,6.941956e-15,0.000,NOISE
2026-01-04T01:31:41.432115,151.02,2.516023e-15,2.516023e-15,0.000,NOISE
2026-01-04T01:31:41.482412,151.22,4.379897e-15,4.379897e-15,0.000,NOISE
2026-01-04T01:31:41.532754,151.43,2.996612e-16,2.996612e-16,0.000,NOISE
2026-01-04T01:31:41.583593,151.63,1.283831e-14,1.283831e-14,0.000,NOISE
2026-01-04T01:31:41.633991,151.84,2.581084e-15,2.581084e-15,0.000,NOISE
2026-01-04T01:31:41.684570,152.04,5.929529e-16,5.929529e-16,0.000,NOISE
2026-01-04T01:31:41.734828,152.24,2.052198e-15,2.052198e-15,0.000,NOISE
2026-01-04T01:31:41.785099,152.45,3.123137e-15,3.123137e-15,0.000,NOISE
2026-01-04T01:31:41.835374,152.65,4.517813e-15,4.517813e-15,0.000,NOISE
2026-01-04T01:31:41.886055,152.86,1.395119e-15,1.395119e-15,0.000,NOISE
2026-01-04T01:31:41.936326,153.06,1.404344e-15,1.404344e-15,0.000,NOISE
2026-01-04T01:31:41.986563,153.27,1.819241e-15,1.819241e-15,0.000,NOISE
2026-01-04T01:31:42.036808,153.47,5.563364e-15,5.563364e-15,0.000,NOISE
2026-01-04T01:31:42.087146,153.67,8.633763e-16,8.633763e-16,0.000,NOISE
2026-01-04T01:31:42.137567,153.88,1.705655e-15,1.705655e-15,0.000,NOISE
2026-01-04T01:31:42.189511,154.08,2.249921e-15,2.249921e-15,0.000,NOISE
2026-01-04T01:31:42.239831,154.29,7.740735e-15,7.740735e-15,0.000,NOISE
2026-01-04T01:31:42.290116,154.49,1.089357e-15,1.089357e-15,0.000,NOISE
2026-01-04T01:31:42.342260,154.69,3.939427e-15,3.939427e-15,0.000,NOISE
2026-01-04T01:31:42.392642,154.90,1.847993e-15,1.847993e-15,0.000,NOISE
2026-01-04T01:31:42.442915,155.10,1.507606e-15,1.507606e-15,0.000,NOISE
2026-01-04T01:31:42.493210,155.31,8.287430e-15,8.287430e-15,0.000,NOISE
2026-01-04T01:31:42.543476,155.51,1.215889e-14,1.215889e-14,0.000,NOISE
2026-01-04T01:31:42.593735,155.71,3.600062e-15,3.600062e-15,0.000,NOISE
2026-01-04T01:31:42.644129,155.92,1.490031e-15,1.490031e-15,0.000,NOISE
2026-01-04T01:31:42.694414,156.12,3.803547e-15,3.803547e-15,0.000,NOISE
2026-01-04T01:31:42.744726,156.33,3.740821e-15,3.740821e-15,0.000,NOISE
2026-01-04T01:31:42.795088,156.53,1.334078e-14,1.334078e-14,0.000,NOISE
2026-01-04T01:31:42.845588,156.73,1.309654e-14,1.309654e-14,0.000,NOISE
2026-01-04T01:31:42.896067,156.94,5.906649e-15,5.906649e-15,0.000,NOISE
2026-01-04T01:31:42.946438,157.14,4.282089e-15,4.282089e-15,0.000,NOISE
2026-01-04T01:31:42.996727,157.35,2.739107e-15,2.739107e-15,0.000,NOISE
2026-01-04T01:31:43.047025,157.55,2.623810e-15,2.623810e-15,0.000,NOISE
2026-01-04T01:31:43.097301,157.76,1.856157e-16,1.856157e-16,0.000,NOISE
2026-01-04T01:31:43.147608,157.96,8.026563e-16,8.026563e-16,0.000,NOISE
2026-01-04T01:31:43.198052,158.16,1.562518e-15,1.562518e-15,0.000,NOISE
2026-01-04T01:31:43.248424,158.37,4.506570e-15,4.506570e-15,0.000,NOISE
2026-01-04T01:31:43.302877,158.57,7.041462e-16,7.041462e-16,0.000,NOISE
2026-01-04T01:31:43.353126,158.78,2.575131e-17,2.575131e-17,0.000,NOISE
2026-01-04T01:31:43.403424,158.98,1.762980e-15,1.762980e-15,0.000,NOISE
2026-01-04T01:31:43.453682,159.18,2.927088e-15,2.927088e-15,0.000,NOISE
2026-01-04T01:31:43.503965,159.39,7.975474e-16,7.975474e-16,0.000,NOISE
2026-01-04T01:31:43.554274,159.59,1.817577e-15,1.817577e-15,0.000,NOISE
2026-01-04T01:31:43.604994,159.80,5.371729e-15,5.371729e-15,0.000,NOISE
2026-01-04T01:31:43.655380,160.00,1.481461e-15,1.481461e-15,0.000,NOISE
